YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1981,94.2,94.1,93.97,93.78,93.66,93.56,93.58,93.62,93.69,93.94,94.05,94.3,93.87
1982,94.18,94.01,93.9,93.79,93.79,93.63,93.59,93.66,93.84,94.02,94.08,94.27,93.9
1983,94.27,94.07,93.98,93.81,93.71,93.57,93.59,93.59,93.67,93.83,94.17,94.14,93.87
1984,93.98,93.9,93.94,93.7,93.56,93.48,93.51,93.66,93.77,93.92,94.11,94,93.79
1985,94.09,93.72,93.89,93.67,93.55,93.6,93.68,93.62,93.75,93.86,94.05,94.15,93.8
1986,94.12,94.01,93.87,93.73,93.66,93.5,93.67,93.65,93.8,93.96,94.08,94.22,93.85
1987,94.24,94.19,93.95,93.85,93.86,93.55,93.74,93.64,93.81,93.91,93.98,94.26,93.91
1988,94.2,94.01,93.82,93.8,93.56,93.55,93.55,93.58,93.56,93.93,94.13,94.25,93.83
1989,94.06,94.11,93.87,93.76,93.57,93.65,93.58,93.64,93.74,93.88,94.21,94.24,93.86
1990,94.22,94.04,94,93.7,93.54,93.58,93.68,93.68,93.79,93.92,94.05,94.22,93.87
1991,94.13,94.15,93.89,93.75,93.67,93.46,93.57,93.71,93.85,93.8,94.19,94.24,93.87
1992,94.38,94.08,94.02,93.83,93.7,93.47,93.61,93.67,93.72,93.89,94.03,94.37,93.9
1993,94.24,94.15,94.01,93.85,93.68,93.6,93.54,93.76,93.79,93.92,94.05,94.23,93.9
1994,94.11,93.96,93.95,93.79,93.65,93.42,93.55,93.66,93.87,93.92,94.17,94.34,93.87
1995,94.24,94.08,93.95,93.8,93.6,93.51,93.48,93.59,93.74,93.8,93.97,94.37,93.84
1996,94.11,94.02,93.84,93.73,93.68,93.53,93.54,93.63,93.61,93.8,94.04,94.19,93.81
1997,94.18,94.04,94.01,93.88,93.74,93.72,93.6,93.78,93.92,94.16,94.12,94.19,93.95
1998,94.19,94.19,93.99,93.84,93.65,93.49,93.55,93.63,93.63,93.8,93.98,94.22,93.84
1999,94.07,94.15,93.7,93.67,93.61,93.65,93.54,93.69,93.71,93.73,94.08,94.19,93.81
2000,94.08,93.91,93.85,93.64,93.68,93.48,93.52,93.57,93.72,93.85,94.03,94.14,93.79
2001,94.04,93.95,93.87,93.79,93.66,93.56,93.62,93.68,93.72,93.82,94.08,94.37,93.85
2002,94.13,94.24,93.92,93.72,93.67,93.57,93.75,93.69,93.87,93.87,94.08,94.25,93.89
2003,94.27,94.05,93.94,93.79,93.66,93.56,93.61,93.69,93.79,93.87,94.17,94.24,93.89
2004,94.12,94.12,93.93,93.8,93.61,93.7,93.6,93.72,93.79,94.04,94.17,94.2,93.9
2005,94.11,94.14,93.99,93.93,93.69,93.52,93.61,93.72,93.7,93.86,94.11,94.11,93.87
2006,94.21,94.15,93.91,93.73,93.63,93.6,93.65,93.7,93.72,94.05,94.08,94.27,93.89
2007,94.3,94.07,93.93,93.82,93.7,93.46,93.55,93.63,93.6,93.86,94.1,94.13,93.85
2008,94.1,94.04,93.86,93.76,93.7,93.62,93.55,93.63,93.74,93.93,94,94.18,93.84
2009,94.23,94.03,93.9,93.74,93.61,93.65,93.61,93.7,93.74,93.96,94.01,94.19,93.86
2010,94.26,94.1,94.02,93.89,93.62,93.62,93.62,93.6,93.73,93.75,93.91,93.91,93.84
2011,94.07,93.99,93.9,93.81,93.72,93.58,93.57,93.6,93.74,93.89,94.03,94.07,93.83
2012,94.08,93.96,93.9,93.79,93.67,93.63,93.56,93.7,93.79,93.96,94,94.09,93.84
2013,94.2,94.1,93.98,93.77,93.66,93.53,93.54,93.68,93.71,93.86,94.07,94.13,93.85
2014,94.25,94.01,94.05,93.9,93.74,93.61,93.67,93.69,93.83,94.01,94.14,94.17,93.92
2015,94.25,94.17,94.1,93.92,93.79,93.66,93.73,93.8,93.84,94.07,94.08,94.27,93.97
2016,94.26,94.15,94.03,93.8,93.71,93.66,93.65,93.69,93.77,93.92,94.09,94.15,93.91
2017,94.2,94.2,93.94,93.82,93.74,93.66,93.71,93.63,93.76,93.85,94.02,94.18,93.89
2018,94.08,94.14,93.97,93.78,93.69,93.6,93.6,93.7,93.85,94.01,94.14,94.18,93.89
2019,94.29,94.17,94.01,93.82,93.73,93.61,93.64,93.68,93.81,93.97,94.1,94.2,93.92
2020,94.17,94.17,93.97,93.92,93.7,93.58,93.56,93.61,93.64,93.75,94.13,94.16,93.86
2021,94.07,94.12,93.97,93.85,93.65,93.7,93.57,93.7,93.67,93.82,93.9,94.23,93.85
