YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1981,7.29,7.15,7.05,9.35,8.31,9.61,8.81,10.47,8.7,8.83,7.58,7.23,12.99
1982,7.68,6.14,7.47,9.29,6.65,10.27,9.51,8.9,8.73,6.58,8.37,6.7,13.64
1983,7.41,6.71,9.25,10.79,9.8,15.41,9.66,9.92,8.4,9.2,8.77,9.21,15.48
1984,7.57,8.34,7.8,10.02,11,13.09,12.59,7.66,10.71,8.23,6.33,8.33,14.17
1985,8.12,6.91,8.68,9.02,9.73,9.15,8.8,8.38,8.44,9.83,7.91,7.6,12.52
1986,7.55,6.98,8.04,8.39,10.52,12.38,10.06,12.08,8.77,7.11,7.54,8.03,13.88
1987,8.16,7.56,8.34,9.62,7.88,10.9,9.59,9.05,8.11,6.55,6.29,7.48,12.55
1988,7.09,6.27,7.45,7.91,10.2,11.09,9.99,12.27,11.05,8.06,8.2,9.13,12.87
1989,7.86,7.82,7.2,8.42,10.06,10.13,15.62,8.2,7.84,7.05,9,8.62,17.18
1990,7.67,8.47,7.7,8.85,10.46,8.52,8.68,9.88,7.06,7.91,8.46,8.52,13.53
1991,8.35,8.8,7.49,9.96,9.98,11.82,11.47,8.56,7.04,7.51,10.33,7.84,15.3
1992,8.18,7.25,6.66,6.77,10.02,13.52,13.62,11.95,10.84,5.87,9.51,5.21,14.3
1993,8.09,9.82,7.31,8.25,9.17,11.77,12.59,9.93,7.8,7.45,9.27,8.86,13.55
1994,7.92,6.05,8.83,6.69,9.75,11.92,11.11,10.3,13.42,7.59,7.68,6.35,14.95
1995,7.67,7.82,7.72,7.58,10.57,7.48,11.83,10.94,12.94,8.28,6.3,7.47,14.01
1996,8.83,9.02,7.73,9.43,9.34,14.55,12.18,11.68,7.16,10.45,8.15,7.22,15.12
1997,7.12,6.75,8.93,7.65,10.2,11.19,9.03,9.81,8.55,6.13,7.77,8.5,13.45
1998,7.58,7.95,7.73,8.1,9.8,13.12,13.84,10.13,8.59,9.3,7.79,7.25,14.56
1999,7.09,8.62,8.1,8.98,10.53,9.64,11.11,10.98,9.09,6.09,8.06,7.68,13.66
2000,7.23,7.27,7.24,8.71,10.98,12.48,11.09,13.91,10.71,5.87,6.46,6.98,14.62
2001,7.14,6.63,7.08,7.67,10.73,12.33,9.78,8.98,7.31,7.09,7.4,5.41,15.8
2002,8.13,7.61,8.03,8.38,9.67,12.12,7.17,10.44,9.43,7.12,7.05,8.47,12.94
2003,7.97,6.98,6.34,8.48,11.2,9.07,9.81,7.41,9.34,7.55,5.45,6.87,12.31
2004,7.83,7.84,7.21,7.87,11.3,14.77,8.76,10,8.08,7.38,6.95,7.41,14.88
2005,7.83,9.05,7.37,8.45,8.83,12.18,13.95,13.05,11.5,6.52,7.28,6.8,14.04
2006,6.81,6.98,6.77,8.2,13.75,13.18,10.52,9.98,10.17,7.63,7.29,6.33,14.49
2007,6.31,7.66,7.05,6.27,8.57,13.7,12.61,11.27,10.02,7.75,6.78,9.33,13.88
2008,7.4,7.96,8.31,8.2,8.2,12.46,11.12,12.18,11.02,7.6,8.66,7.8,13.02
2009,8.02,7.86,7.3,7.5,9.48,10.55,11.16,9.66,10.46,10.21,8.66,8.11,15.35
2010,7.02,7.64,7.73,7.66,9.41,11.81,11.22,10.3,9.71,7.79,7.28,6.39,13.23
2011,7.34,8.25,7.48,7.3,8.7,13.31,11.41,9.11,11.53,9.2,8.49,8.25,13.93
2012,7.18,7.86,7.01,8,8.91,8.94,9.11,10.84,10.58,9.35,9.08,9.03,12.9
2013,7.46,8.55,7.24,8.72,8.16,11.42,9.56,13.21,9.01,7.62,8.05,7.85,14.68
2014,7.77,7.86,6.78,7.22,9.55,11.21,10.67,12.19,9.98,7.55,7.9,7.35,14.26
2015,7.57,7.54,7.91,7.65,9.72,13.85,10.32,10.68,10.12,7.45,7.91,8.04,14.45
2016,9.81,8.13,7.3,8.02,9.45,12.54,12.31,9.63,9.16,7.67,5.92,10.34,14.23
2017,7.91,8.62,6.8,8.41,10,9.66,9.8,8.16,11.76,6.41,7.66,9,12.98
2018,6.49,7.99,7.05,8.04,7.87,11.83,10.42,9.42,8.78,7.94,7.95,7.41,14.28
2019,7.09,7.12,5.77,8.74,10.63,11.89,9.91,11.8,12.66,8.55,7.3,8.02,14.88
2020,7.98,7.42,7.36,8.12,9.03,12.51,11.62,12.33,10.99,8.99,6.3,6.77,14.3
2021,7.7,8.5,6.52,7.05,9.7,12.48,10.59,10.4,9.85,6.23,7.42,7.74,12.94
